Year,Actual/Forecast,Beef,Pork,Total Red Meat,Broilers,Other Chicken,Total Chicken,Turkey,Total Poultry,Total Red Meat & Poultry,Commercial Fish & Shell-Fish
1960,Actual,63.3,59.1,133,23.6,4.4,28,6.2,34.2,167.2,10.3
1965,Actual,74.7,51.5,133.9,32.4,4,36.4,7.6,44,177.9,10.9
1966,Actual,78.1,50.3,135.8,32.1,3.7,35.8,7.9,43.7,179.5,10.9
1967,Actual,79.8,55,141.6,32.6,4,36.7,8.7,45.3,187,10.6
1968,Actual,82,56.2,144.6,32.9,4,36.9,8.1,44.9,189.6,11
1969,Actual,82.5,54.3,142.7,34.9,3.6,38.5,8.3,46.8,189.6,11.2
1970,Actual,84.4,55.4,145.1,36.5,3.7,40.1,8.1,48.2,193.3,11.8
1971,Actual,83.9,60.6,149.6,36.3,3.8,40.1,8.4,48.5,198.1,11.5
1972,Actual,85.3,54.7,144.8,37.9,3.5,41.5,9,50.4,195.2,12.5
1973,Actual,80.5,48.7,133.1,36.6,3.2,39.8,8.4,48.2,181.3,12.7
1974,Actual,85.6,52.7,142.3,36.5,3.2,39.7,8.7,48.4,190.7,12.1
1975,Actual,88.2,42.9,136.3,36,2.7,38.7,8.3,47,183.3,12.1
1976,Actual,94.1,45.1,144.2,39.4,2.6,42,8.9,50.9,195.1,12.9
1977,Actual,91.5,46.7,142.9,40.1,2.6,42.7,8.7,51.4,194.3,12.6
1978,Actual,87.1,46.5,137.5,42.5,2.3,44.7,8.7,53.4,190.9,13.4
1979,Actual,77.9,53.2,134.1,45.4,2.2,47.7,9.2,56.9,191,13
1980,Actual,76.4,56.8,136.1,45.2,2.1,47.4,10.2,57.6,193.7,12.4
1981,Actual,77.2,54.2,134.4,46.2,2.5,48.7,10.6,59.3,193.7,12.6
1982,Actual,76.9,48.6,128.6,46.5,2.5,48.9,10.6,59.5,188.1,12.4
1983,Actual,78.5,51.3,133,46.8,2.2,49,11,60,193,13.3
1984,Actual,78.3,51,132.6,48.8,2.1,50.9,11,61.9,194.5,14.1
1985,Actual,79,51.5,133.8,50.5,2,52.5,11.6,64.1,197.9,15
1986,Actual,78.7,48.6,130.5,51.1,2.1,53.1,12.9,66,196.5,15.4
1987,Actual,73.7,48.8,125.3,54.5,2.1,56.6,14.7,71.3,196.6,16.1
1988,Actual,72.5,52.1,127.3,54.8,1.9,56.7,15.7,72.4,199.7,15.1
1989,Actual,68.9,51.5,123,56.1,1.7,57.8,16.6,74.4,197.4,15.6
1990,Actual,67.5,49.4,119.4,59,1.7,60.6,17.5,78.1,197.5,15.1
1991,Actual,66.4,49.8,118.6,61.4,1.6,62.9,17.8,80.7,199.3,15.2
1992,Actual,65.9,52.3,120.6,64.9,1.6,66.5,17.8,84.2,204.8,14.5
1993,Actual,64.4,51.6,118.2,67.4,1.5,69,17.7,86.5,204.7,15.3
1994,Actual,66.1,52.1,120.4,68.4,1.3,69.7,17.5,87.3,207.7,15.9
1995,Actual,66.4,51.5,120,67.6,1.3,68.9,17.6,86.5,206.5,16
1996,Actual,67,48.1,117.4,69,0.7,69.7,18.1,87.8,205.2,16
1997,Actual,65.5,47.6,115.2,71.1,0.3,71.4,17.2,88.6,203.8,15.6
1998,Actual,66.5,51.3,119.7,71.7,0.3,71.9,17.6,89.5,209.2,15.8
1999,Actual,67.3,52.5,121.7,76,0.5,76.4,17.5,93.9,215.6,17.2
2000,Actual,67.5,50.8,120.2,76.6,0.8,77.4,17.3,94.7,214.9,16.8
2001,Actual,66,50,117.7,76.3,0.8,77.1,17.5,94.6,212.3,16.5
2002,Actual,67.5,51.3,120.6,80.1,0.9,81,17.7,98.7,219.3,17.5
2003,Actual,64.8,51.6,118.1,81.1,1,82.1,17.4,99.5,217.6,18.3
2004,Actual,65.9,51,118.6,83.9,0.7,84.6,17,101.6,220.2,17.6
2005,Actual,65.4,49.6,116.5,85.4,1,86.4,16.7,103.1,219.6,18.2
2006,Actual,65.7,49,116.1,86,0.9,86.9,16.9,103.8,219.9,18.4
2007,Actual,65,50.3,116.8,84.7,0.8,85.5,17.5,103,219.8,18.4
2008,Actual,62.1,48.9,112.5,82.9,0.9,83.8,17.6,101.4,213.9,17.6
2009,Actual,60.8,49.6,111.7,79.2,0.8,80,16.9,96.9,208.6,17.4
2010,Actual,59.3,47.2,107.9,81.8,1,82.8,16,98.8,206.7,17.7
2011,Actual,56.9,45.1,103.2,82.3,1,83.3,16,99.3,202.5,17.8
2012,Actual,57.1,45.3,103.5,79.8,1,80.8,15.9,96.7,200.2,16.8
2013,Actual,56,46.3,103.5,81.4,0.9,82.3,15.9,98.2,201.7,17.9
2014,Actual,53.9,45.3,100.4,82.9,0.9,83.8,15.8,99.6,200,17.3
2015,Actual,53.8,49.2,104.2,88.4,0.9,89.3,15.9,105.2,209.4,18.8
2016,Actual,56.5,50.1,106.9,89.8,1.2,91,16.6,107.6,214.5,18.3
2017,Actual,56.9,50.1,108.2,90.8,1.3,92.1,16.4,108.5,216.8,19.1
2018,Actual,57,50.8,109.2,92.1,1.4,93.5,16.1,109.6,218.8,19
2019,Actual,58.1,52.4,111.9,95.1,1.4,96.5,16,112.5,224.4,19.2
2020,Actual,58.1,51.7,111.3,95.8,1.4,97.2,15.7,112.9,224.1,
2021,Actual,58.9,51.1,111.5,96.5,1.5,98,15.3,113.3,224.8,
2022,Actual,59.1,51.1,111.6,98.9,1.7,100.6,14.6,115.2,226.8,
