Year,Beef,Pork,Chicken,Turkey,Beef_Percent_Change,Pork_Percent_Change,Chicken_Percent_Change,Turkey_Percent_Change
1960,63.3,59.1,28.0,6.2,0.0,0.0,0.0,0.0
1965,74.7,51.5,36.4,7.6,0.1800947867298579,-0.12859560067681897,0.30000000000000004,0.22580645161290303
1966,78.1,50.3,35.8,7.9,0.23380726698262233,-0.1489001692047378,0.27857142857142847,0.27419354838709675
1967,79.8,55.0,36.7,8.7,0.26066350710900466,-0.0693739424703892,0.3107142857142857,0.40322580645161277
1968,82.0,56.2,36.9,8.1,0.29541864139020535,-0.04906937394247035,0.31785714285714284,0.30645161290322576
1969,82.5,54.3,38.5,8.3,0.3033175355450237,-0.08121827411167515,0.375,0.338709677419355
1970,84.4,55.4,40.1,8.1,0.3333333333333335,-0.06260575296108295,0.43214285714285716,0.30645161290322576
1971,83.9,60.6,40.1,8.4,0.3254344391785151,0.025380710659898442,0.43214285714285716,0.3548387096774195
1972,85.3,54.7,41.5,9.0,0.3475513428120063,-0.0744500846023688,0.4821428571428572,0.4516129032258065
1973,80.5,48.7,39.8,8.4,0.27172195892575046,-0.17597292724196278,0.42142857142857126,0.3548387096774195
1974,85.6,52.7,39.7,8.7,0.3522906793048972,-0.10829103214890012,0.4178571428571429,0.40322580645161277
1975,88.2,42.9,38.7,8.3,0.3933649289099528,-0.2741116751269036,0.38214285714285734,0.338709677419355
1976,94.1,45.1,42.0,8.9,0.48657187993680884,-0.2368866328257191,0.5,0.435483870967742
1977,91.5,46.7,42.7,8.7,0.4454976303317537,-0.209813874788494,0.5250000000000001,0.40322580645161277
1978,87.1,46.5,44.7,8.7,0.3759873617693523,-0.21319796954314718,0.5964285714285715,0.40322580645161277
1979,77.9,53.2,47.7,9.2,0.23064770932069534,-0.09983079526226735,0.7035714285714287,0.4838709677419353
1980,76.4,56.8,47.4,10.2,0.20695102685624023,-0.03891708967851104,0.6928571428571428,0.6451612903225805
1981,77.2,54.2,48.7,10.6,0.21958925750394953,-0.08291032148900168,0.7392857142857143,0.7096774193548385
1982,76.9,48.6,48.9,10.6,0.2148499210110586,-0.17766497461928932,0.7464285714285714,0.7096774193548385
1983,78.5,51.3,49.0,11.0,0.2401263823064772,-0.13197969543147214,0.75,0.7741935483870968
1984,78.3,51.0,50.9,11.0,0.23696682464454977,-0.13705583756345174,0.8178571428571428,0.7741935483870968
1985,79.0,51.5,52.5,11.6,0.24802527646129557,-0.12859560067681897,0.875,0.8709677419354838
1986,78.7,48.6,53.1,12.9,0.24328593996840442,-0.17766497461928932,0.8964285714285716,1.0806451612903225
1987,73.7,48.8,56.6,14.7,0.16429699842022116,-0.17428087986463625,1.0214285714285714,1.3709677419354835
1988,72.5,52.1,56.7,15.7,0.1453396524486572,-0.11844331641285955,1.025,1.532258064516129
1989,68.9,51.5,57.8,16.6,0.08846761453396534,-0.12859560067681897,1.064285714285714,1.67741935483871
1990,67.5,49.4,60.6,17.5,0.06635071090047395,-0.16412859560067683,1.1642857142857141,1.82258064516129
1991,66.4,49.8,62.9,17.8,0.048973143759873716,-0.15736040609137059,1.2464285714285714,1.870967741935484
1992,65.9,52.3,66.5,17.8,0.041074249605055346,-0.11505922165820648,1.375,1.870967741935484
1993,64.4,51.6,69.0,17.7,0.01737756714060046,-0.12690355329949243,1.4642857142857144,1.854838709677419
1994,66.1,52.1,69.7,17.5,0.04423380726698256,-0.11844331641285955,1.4892857142857143,1.82258064516129
1995,66.4,51.5,68.9,17.6,0.048973143759873716,-0.12859560067681897,1.4607142857142859,1.838709677419355
1996,67.0,48.1,69.7,18.1,0.05845181674565558,-0.1861252115059222,1.4892857142857143,1.9193548387096775
1997,65.5,47.6,71.4,17.2,0.034755134281200695,-0.19458544839255498,1.5500000000000003,1.7741935483870965
1998,66.5,51.3,71.9,17.6,0.050552922590837435,-0.13197969543147214,1.567857142857143,1.838709677419355
1999,67.3,52.5,76.4,17.5,0.06319115323854652,-0.1116751269035533,1.7285714285714286,1.82258064516129
2000,67.5,50.8,77.4,17.3,0.06635071090047395,-0.14043993231810492,1.7642857142857147,1.7903225806451615
2001,66.0,50.0,77.1,17.5,0.042654028436019065,-0.1539763113367174,1.7535714285714286,1.82258064516129
2002,67.5,51.3,81.0,17.7,0.06635071090047395,-0.13197969543147214,1.8928571428571428,1.854838709677419
2003,64.8,51.6,82.1,17.4,0.023696682464454888,-0.12690355329949243,1.932142857142857,1.8064516129032255
2004,65.9,51.0,84.6,17.0,0.041074249605055346,-0.13705583756345174,2.0214285714285714,1.7419354838709675
2005,65.4,49.6,86.4,16.7,0.0331753554502372,-0.16074450084602365,2.085714285714286,1.693548387096774
2006,65.7,49.0,86.9,16.9,0.03791469194312813,-0.17089678510998307,2.1035714285714286,1.725806451612903
2007,65.0,50.3,85.5,17.5,0.026856240126382325,-0.1489001692047378,2.0535714285714284,1.82258064516129
2008,62.1,48.9,83.8,17.6,-0.018957345971563955,-0.17258883248730972,1.9928571428571429,1.838709677419355
2009,60.8,49.6,80.0,16.9,-0.03949447077409163,-0.16074450084602365,1.8571428571428572,1.725806451612903
2010,59.3,47.2,82.8,16.0,-0.06319115323854663,-0.20135363790186123,1.9571428571428569,1.5806451612903225
2011,56.9,45.1,83.3,16.0,-0.10110584518167454,-0.2368866328257191,1.975,1.5806451612903225
